2025-05-20 19:08:49,930 INFO    Thread-25 :8044 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-20 19:08:49,931 INFO    Thread-25 :8044 [wandb_setup.py:_flush():70] Configure stats pid to 8044
2025-05-20 19:08:49,931 INFO    Thread-25 :8044 [wandb_setup.py:_flush():70] Loading settings from C:\Users\DELL\.config\wandb\settings
2025-05-20 19:08:49,931 INFO    Thread-25 :8044 [wandb_setup.py:_flush():70] Loading settings from C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_3\DA6401-Assignment-3\wandb\settings
2025-05-20 19:08:49,931 INFO    Thread-25 :8044 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-20 19:08:49,931 INFO    Thread-25 :8044 [wandb_init.py:setup_run_log_directory():724] Logging user logs to C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_3\DA6401-Assignment-3\wandb\run-20250520_190849-cbuuojvf\logs\debug.log
2025-05-20 19:08:49,931 INFO    Thread-25 :8044 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_3\DA6401-Assignment-3\wandb\run-20250520_190849-cbuuojvf\logs\debug-internal.log
2025-05-20 19:08:49,932 INFO    Thread-25 :8044 [wandb_init.py:init():852] calling init triggers
2025-05-20 19:08:49,932 INFO    Thread-25 :8044 [wandb_init.py:init():857] wandb.init called with sweep_config: {'batch_size': 32, 'cell_type': 'lstm', 'clip': 1, 'data_dir': '.', 'dropout': 0, 'embedding_size': 128, 'hidden_size': 128, 'language': 'ta', 'learning_rate': 0.0004687611612460029, 'max_seq_len': 50, 'momentum': 0, 'n_epochs': 20, 'num_layers': 3, 'optimizer': 'adam', 'rmsprop_alpha': 0.99, 'scheduler': 'plateau', 'scheduler_factor': 0.5, 'scheduler_patience': 5, 'scheduler_t_max': 20, 'teacher_forcing_ratio': 0.5, 'use_attention': False, 'weight_decay': 0.0001}
config: {'_wandb': {}}
2025-05-20 19:08:49,932 INFO    Thread-25 :8044 [wandb_init.py:init():893] starting backend
2025-05-20 19:08:49,932 INFO    Thread-25 :8044 [wandb_init.py:init():897] sending inform_init request
2025-05-20 19:08:49,935 INFO    Thread-25 :8044 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-05-20 19:08:49,935 INFO    Thread-25 :8044 [wandb_init.py:init():907] backend started and connected
2025-05-20 19:08:49,936 INFO    Thread-25 :8044 [wandb_run.py:_config_callback():1436] config_cb None None {'batch_size': 32, 'cell_type': 'lstm', 'clip': 1, 'data_dir': '.', 'dropout': 0, 'embedding_size': 128, 'hidden_size': 128, 'language': 'ta', 'learning_rate': 0.0004687611612460029, 'max_seq_len': 50, 'momentum': 0, 'n_epochs': 20, 'num_layers': 3, 'optimizer': 'adam', 'rmsprop_alpha': 0.99, 'scheduler': 'plateau', 'scheduler_factor': 0.5, 'scheduler_patience': 5, 'scheduler_t_max': 20, 'teacher_forcing_ratio': 0.5, 'use_attention': False, 'weight_decay': 0.0001}
2025-05-20 19:08:49,951 INFO    Thread-25 :8044 [wandb_init.py:init():1005] updated telemetry
2025-05-20 19:08:50,014 INFO    Thread-25 :8044 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-20 19:08:50,889 INFO    Thread-25 :8044 [wandb_init.py:init():1104] starting run threads in backend
2025-05-20 19:08:51,211 INFO    Thread-25 :8044 [wandb_run.py:_console_start():2573] atexit reg
2025-05-20 19:08:51,211 INFO    Thread-25 :8044 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-20 19:08:51,211 INFO    Thread-25 :8044 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-20 19:08:51,211 INFO    Thread-25 :8044 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-20 19:08:51,212 INFO    Thread-25 :8044 [wandb_init.py:init():1150] run started, returning control to user process
